'Numer oferty';'Tytuł oferty';'Data zakupu';'Liczba zakupionych przedmiotów / zestawów / kompletów';'Cena oryginalna';'Login sprzedawcy'
17831449557;'SYROP PRAWOŚLAZ CYNKIEM 125 G';'2026-02-05T10:04:25Z';1;7.5;'Zdrowa_Dolinka'
17235797116;'VITAMINUM D3 4000 j.m. STRONG 60 kaps';'2026-02-05T10:04:25Z';1;10.57;'Zdrowa_Dolinka'
18203218372;'Rękawiczki Nitrylowe Beznitkowe Clara w Kolorze Czarnym, Rozmiar L';'2026-02-05T10:04:25Z';1;12.2;'Zdrowa_Dolinka'
17461178942;'IBUVIT D3 4000 IU+K2 MK-7+OMEGAX30 KAPSUŁEK';'2026-02-05T10:04:25Z';2;27.77;'Zdrowa_Dolinka'
15530592799;'OUTLET Minecraft Przetapiający Płomyk GKT34';'2025-03-12T08:54:32Z';1;4.99;'Allegro_Outlet'
10002940974;'Pamięć 8GB DDR3 PC3-12800R 1600MHz ECC-Reg MICRON';'2020-12-28T12:25:20Z';2;40.0;'fp_investment'
7835892;'Magnetofon DENON DRM - 600';'2002-10-23T12:43:47Z';1;203.5;'Shango'
